instance_name,instance_type,CPUUtilization,NetworkIn,NetworkOut
centos-proxy-vpn-nginx,t2.micro,0.15367829036594144,14344808.142857144,10971581.857142856
rhel-Prod-NG-AppConsul-new,t3.large,2.1817526382823873,1092951984.75,1028597353.25
hadoop-prod-emr-slave,m5.xlarge,0.07013207318550828,44626638.71428572,74288281.85714285
rhel-Prod-NG-AppMaster2-new,t3.2xlarge,0.7513240039281712,1731455254.5,922061543.75
rhel-Prod-NG-AppMaster1-new,t3.2xlarge,1.29643834175084,1763572040.5,894020312.25
centos-proxy-vpn-nginx-for-GLO,t3.micro,0.0002976190476190471,13915684.57142857,13485457.285714285
centos-preProd-vpn-for-UBA,t3.nano,0.006350309407988355,14252544.0,13856088.57142857
centos-Prod-ES-Master,t3.xlarge,1.9687604572573372,2696591499.857143,2173347812.285714
centos-Prod-kafka,t3.large,0.31184146797877743,236061308.2857143,1283808636.142857
hadoop-prod-emr-master,m5.2xlarge,2.1239087301587296,2507749306.857143,773217792.4285715
rhel-Prod-Config-git,t2.medium,6.607450959838446,91527040.42857143,96159059.71428572
rhel-Prod-GH-AppConsul-gray,t3.large,2.4092066383574,1069382904.1428572,977859591.2857143
windows-preProd-vpn-for-JUMP,t2.medium,3.7995150219655356,99104053.14285715,29289992.57142857
rhel-Prod-GH-AppMaster2-gray,t3.2xlarge,0.5812165139179035,835584903.5714285,901022055.2857143
rhel-Prod-Otter_Manager,m5.xlarge,0.00892774528270712,1374395810.2857144,1480077098.4285715
centos-Prod-NG-Nginx-Cfront1-new,t3.large,0.03913340302087383,51210799.25,61581727.25
SS-Seoul,t3.nano,0.24758874404878184,1077108893.7142856,993102772.8571428
